current_activity,precision,smoothness,lifts,time_spent,recommended_activity
Words,0.45250313043318063,1.07,0,10.903768180776044,Words_Review
Numbers,0.5491987735163447,1.83,7,52.4611705247089,Numbers_Review
Lines,0.6689273567773315,1.19,2,28.385790152971676,Lines
MathBasics,0.7011121763411698,1.71,5,29.65488623333802,MathBasics_Review
Letters,0.5953881685470914,1.5,4,35.1318546552596,Letters
Lines,0.43276523170267023,1.5,4,34.95966899423762,Lines_Review
Lines,0.3296505647930149,1.53,3,57.02292921764572,Lines_Review
Words,0.900775935141056,1.52,3,10.772830826443371,Words
Lines,0.6758801774481331,1.8,6,58.18099885446264,Lines_Review
Words,0.5618664554493091,1.67,6,23.423742844507842,Words_Review
Shapes,0.6786248584716781,1.83,6,52.21065703631557,Shapes_Review
MathBasics,0.3660800157641226,1.73,7,43.55717584120253,MathBasics_Review
Letters,0.5007976001248783,1.24,1,47.03843088771022,Letters_Review
Letters,0.7820594778988805,1.78,6,24.679592213224666,Letters_Review
Letters,0.47422072164423146,1.78,7,55.66202762782356,Letters_Review
Lines,0.7269682021650725,1.45,3,42.49819653888826,Lines
MathBasics,0.9052036324359449,1.7,6,11.380838593685235,MathBasics_Review
MathBasics,0.5231438138828177,1.1,1,37.13223173537883,MathBasics_Review
Shapes,0.885075140451939,1.19,0,11.86740943746072,Letters
MathBasics,0.6652160504937257,1.57,4,36.11216300274022,MathBasics
Numbers,0.9563712446657233,1.52,6,14.2673732496884,Numbers_Review
Numbers,0.5797206554385415,1.35,2,41.87149507491033,Numbers
Words,0.959285069637628,1.28,1,26.1478236470623,MathBasics
Letters,0.5985005660798326,1.56,6,22.54302636733306,Letters_Review
MathBasics,0.8684664819482999,1.0,0,44.42499503826832,ReadSimple
Shapes,0.40637718901633846,1.03,1,21.98936795787016,Shapes_Review
Lines,0.7489342161680572,1.48,4,41.913529692167515,Lines
Words,0.7159701074393594,1.7,6,12.38580638458244,Words_Review
Letters,0.8153353551157709,1.0,0,27.093983335820077,Numbers
Lines,0.51176105038608,1.57,5,45.18289296900118,Lines_Review
Shapes,0.8190878076426593,1.36,4,33.67358853902829,Shapes
MathBasics,0.741846104197079,1.22,1,40.79250490261082,MathBasics
Shapes,0.47740766387236544,1.18,1,41.292995785711824,Shapes_Review
Lines,0.6667766649120425,1.32,4,18.146721354071484,Lines
Shapes,0.3180276911683028,1.88,7,41.820179872300564,Shapes_Review
Numbers,0.5639555498204349,1.48,3,16.42501766169551,Numbers
Letters,0.940196069968037,1.33,2,51.0213421885634,Numbers
Letters,0.4331379716567215,1.43,4,20.729455985418706,Letters_Review
Words,0.3642212133140313,1.33,2,26.827710744436324,Words_Review
Words,0.874515211459229,1.09,1,27.031228473212,MathBasics
Numbers,0.7711654439105187,1.31,1,41.4471423389942,Words
Numbers,0.5842033015665935,1.36,4,24.101728628565326,Numbers
Lines,0.6865937929499717,1.24,2,59.52525710003366,Lines
Shapes,0.47001118546695114,1.93,7,27.040177012650894,Shapes_Review
Words,0.4622458646574313,1.76,6,47.54355338957487,Words_Review
Lines,0.5568556425998805,1.19,0,35.26261862239286,Lines
MathBasics,0.5023919186663314,1.1,2,29.460083936708156,MathBasics_Review
Lines,0.876057337985001,1.23,0,25.965681879520744,Shapes
Numbers,0.6899377639238344,1.53,6,14.164220559762981,Numbers_Review
Numbers,0.5234918908515428,1.43,2,20.636394751211448,Numbers_Review
Lines,0.37715592937186465,1.32,4,34.72101523512907,Lines_Review
Shapes,0.6002407409338963,1.75,6,37.295788508249444,Shapes_Review
Numbers,0.7678604069190265,1.04,1,40.91090316581305,Words
MathBasics,0.7766590093922016,1.31,1,29.832580097712594,ReadSimple
Shapes,0.35531717083649184,1.5,4,21.66140362122639,Shapes_Review
Words,0.5520366600054858,1.52,3,21.834259684103937,Words
Words,0.8122971659760803,1.57,5,45.40905977915999,Words_Review
Numbers,0.6797148898203473,1.22,2,22.4362077215144,Numbers
MathBasics,0.6349850709177842,1.5,4,30.260104339070857,MathBasics
Numbers,0.3807961830622889,1.56,4,51.139517593834654,Numbers_Review
Letters,0.6966907602660686,1.57,5,30.01114464360124,Letters_Review
Lines,0.8906474071688328,1.68,5,31.8167915803278,Lines_Review
Words,0.9595176021611944,1.32,4,26.134319413879183,Words
Words,0.975216061361124,1.54,4,22.649508399462057,Words
Lines,0.6557065340357011,1.0,0,20.840455329324563,Lines
Lines,0.726739494457163,1.66,5,29.210091568960998,Lines_Review
Letters,0.4910549689227166,1.74,7,12.89319488788537,Letters_Review
Numbers,0.528248844061935,1.16,1,19.406057986188067,Numbers_Review
Shapes,0.4559884270793657,1.54,3,13.88673184824924,Shapes_Review
Letters,0.7747499655334267,1.04,0,23.988175358447286,Numbers
Words,0.7656171973366379,1.33,4,16.659256261187487,Words
MathBasics,0.9458639410385083,1.92,7,39.058131059041315,MathBasics_Review
Shapes,0.9342553686807289,1.06,1,37.5793936272035,Letters
Lines,0.8287695529399532,1.05,1,59.363806465747224,Shapes
Words,0.8097132439837289,1.19,0,58.49571989073016,MathBasics
Words,0.3431880441212009,1.0,0,30.74097511688326,Words_Review
MathBasics,0.7703657900748602,1.65,4,59.98588366430653,MathBasics_Review
Words,0.6979016819813209,1.6,4,57.238286494121404,Words
Lines,0.46393768598414964,1.23,0,16.45797075757475,Lines_Review
Words,0.44091480132547833,1.12,0,43.58503422029283,Words_Review
Numbers,0.482697287777209,1.68,6,43.57865977963998,Numbers_Review
MathBasics,0.8653326132425008,1.19,1,52.609075015927004,ReadSimple
Words,0.3601175918886397,1.15,2,30.17414331061985,Words_Review
Words,0.7218104949203559,1.32,1,50.252233375968096,Words
Numbers,0.9667146530628168,1.14,1,39.49588434273166,Words
Letters,0.3618814219149046,1.18,1,27.41277335116502,Letters_Review
Numbers,0.5026124270485263,1.33,1,53.11818543733726,Numbers_Review
Numbers,0.6123558294033973,1.0,0,34.60581465397691,Numbers
Words,0.9664221511941242,1.37,4,27.370670411270712,Words
Letters,0.4632990207691713,1.26,2,36.8631708357035,Letters_Review
Letters,0.39440247740159884,1.84,7,19.003363617464927,Letters_Review
Lines,0.909816118736088,1.44,2,35.761802743210545,Lines
Words,0.4307565327898961,1.22,2,51.089531842222456,Words_Review
Shapes,0.4203671293081878,1.49,4,37.43576546037043,Shapes_Review
Numbers,0.4403069285159389,1.12,1,16.437419914982193,Numbers_Review
Letters,0.32673225509194725,1.14,0,34.057269702814665,Letters_Review
MathBasics,0.4067448242470117,1.7,7,13.053897992743188,MathBasics_Review
Lines,0.3574715652228637,1.17,2,19.226050967818864,Lines_Review
MathBasics,0.46055924251983493,1.36,3,28.445681978488622,MathBasics_Review
Words,0.34239212650764417,1.35,2,22.621847217201037,Words_Review
MathBasics,0.8097390377658393,1.36,3,15.358600566988802,MathBasics
Letters,0.5700714061027761,1.73,7,23.462161547469048,Letters_Review
Shapes,0.6834962625728087,1.01,0,20.572400349827234,Shapes
Numbers,0.4585871598538648,1.54,4,39.67962267770243,Numbers_Review
Letters,0.7411995313982715,1.19,1,14.346014404371186,Letters
Shapes,0.6792647408462974,1.64,7,31.58297731148397,Shapes_Review
Lines,0.5294638470329043,1.4,3,42.295862066580064,Lines_Review
Letters,0.9708303691792262,1.3,4,56.68459118799373,Letters
Words,0.40394421464534574,1.8,6,34.390490040436895,Words_Review
MathBasics,0.49386471471181603,1.79,6,12.782674467848768,MathBasics_Review
Letters,0.6566677449077731,1.95,7,44.848073118321075,Letters_Review
MathBasics,0.5705418073511043,1.2,3,55.86978065427658,MathBasics
MathBasics,0.4753739223905591,1.89,7,46.144804831088784,MathBasics_Review
Shapes,0.6785987672494722,1.89,7,33.8309742063206,Shapes_Review
Words,0.4271897490191159,1.47,5,45.547623941837415,Words_Review
Numbers,0.46483861804225457,1.77,6,45.36150478222223,Numbers_Review
MathBasics,0.6952419905673763,1.21,2,56.60071711284671,MathBasics
Letters,0.3352400050392503,1.19,1,32.71339861095498,Letters_Review
Shapes,0.9731729580251627,1.33,4,44.228577393991664,Shapes
Words,0.30184341160174416,1.07,0,39.781937030392214,Words_Review
Letters,0.5372304212492367,1.16,0,52.536373000822735,Letters_Review
Shapes,0.3845221119701704,1.67,7,59.54647382286953,Shapes_Review
Letters,0.3452174618094087,1.62,7,46.07982753756386,Letters_Review
Words,0.39504521610587684,1.18,0,47.525096238265675,Words_Review
Letters,0.4117007425930752,1.52,4,21.78458730324999,Letters_Review
MathBasics,0.5440047292039817,1.54,4,39.415333789752836,MathBasics_Review
MathBasics,0.9117738627986776,1.56,4,25.068893708207106,MathBasics
Lines,0.4579046326998357,1.09,0,29.574105510075096,Lines_Review
Words,0.9164010354558918,1.25,2,37.14246553067045,MathBasics
Letters,0.7268414760885641,1.66,7,44.68588037016692,Letters_Review
Words,0.6368880659546966,1.68,5,54.69462915254788,Words_Review
MathBasics,0.8116341216263994,1.56,4,22.424456990723286,MathBasics
MathBasics,0.439090323355235,1.31,1,48.122934287034525,MathBasics_Review
Lines,0.3699829009060186,1.6,4,15.531586847760362,Lines_Review
Numbers,0.5701553575810496,1.47,4,36.99303185564183,Numbers
Numbers,0.791131746507285,1.21,1,10.610153615902226,Words
Numbers,0.6690526214763654,1.39,2,39.951468238866326,Numbers
MathBasics,0.9177463817068672,1.55,5,21.36754915149935,MathBasics_Review
Shapes,0.9441526709360344,1.25,3,55.59262044214824,Shapes
Shapes,0.7157888800955605,1.71,6,46.304779303120036,Shapes_Review
Numbers,0.6842905648406621,1.21,3,49.504231856204335,Numbers
Shapes,0.8244477345934218,1.65,6,40.3357523191428,Shapes_Review
Words,0.3708879369152304,1.06,0,56.278425645338814,Words_Review
MathBasics,0.4604161035246552,1.04,1,51.94490432229671,MathBasics_Review
Lines,0.5258595606053584,1.61,5,35.94190285630361,Lines_Review
Words,0.5579278749021732,1.58,4,26.759862082295047,Words
Words,0.7105306415764945,1.29,2,29.908434679547167,Words
Letters,0.9276129576229697,1.76,6,27.347660094811385,Letters_Review
Lines,0.6992063924128658,1.15,2,32.621975806634666,Lines
Lines,0.6388900854628462,1.51,5,11.69395801232975,Lines_Review
Words,0.6948000781890695,1.47,5,21.004860704054853,Words_Review
Lines,0.42106445747143095,1.4,3,32.94944940085065,Lines_Review
MathBasics,0.35803777429347783,1.4,4,19.223143570942803,MathBasics_Review
Words,0.5701763185111666,1.41,2,20.49527965477929,Words
MathBasics,0.42966765005129326,1.59,4,28.886297372008464,MathBasics_Review
Letters,0.3446818748112796,1.58,5,45.70295998949141,Letters_Review
MathBasics,0.5997186679179951,1.27,1,34.85059744106245,MathBasics
Numbers,0.42371112873678435,1.56,4,13.77516819019446,Numbers_Review
Shapes,0.48410637773761656,1.68,5,36.32892333296469,Shapes_Review
Numbers,0.8710564244304679,1.51,6,42.94619709550757,Numbers_Review
Letters,0.45713086167988853,1.31,2,35.27539395530169,Letters_Review
Lines,0.8439429380537686,1.29,2,54.37302412567515,Shapes
Shapes,0.8476141778033754,1.9,7,46.11334659278296,Shapes_Review
Letters,0.9546015366173146,1.27,3,43.40425682853231,Letters
Shapes,0.3088413079873005,1.8,6,46.79523065980012,Shapes_Review
Words,0.8959819715951998,1.61,4,31.0712275296249,Words_Review
Words,0.5324357991545556,1.13,1,51.25536657113299,Words_Review
Numbers,0.8648450644643697,1.49,4,30.470582609562022,Numbers
Shapes,0.8855262535828106,1.37,2,57.422665348107834,Letters
Lines,0.8905582236105807,1.76,7,59.26836561208673,Lines_Review
Lines,0.6296492896622354,1.09,0,23.433867969247302,Lines
Words,0.5737340296459468,1.19,0,16.967803703641206,Words
Numbers,0.3899478235652246,1.4,4,18.583964292415175,Numbers_Review
Letters,0.8593570356199383,1.8,7,15.887554144507057,Letters_Review
MathBasics,0.34567927194268283,1.59,4,42.57101941759321,MathBasics_Review
Words,0.3074771634877667,1.39,4,23.184190131730823,Words_Review
Letters,0.7062409094758095,1.37,3,41.65490316787238,Letters
Shapes,0.9218001232289725,1.27,1,30.219075077451215,Letters
MathBasics,0.33193685740703743,1.26,3,57.931358865661025,MathBasics_Review
Words,0.710143434437144,1.29,1,13.412485267704579,Words
Letters,0.5418574471961654,1.11,0,46.07664305609528,Letters_Review
MathBasics,0.6237142734953878,1.55,6,57.704346826981656,MathBasics_Review
Lines,0.4835396312266925,1.71,6,23.113202214991254,Lines_Review
Letters,0.875557337533899,1.22,2,39.84214244584446,Numbers
Shapes,0.6224813699162512,1.15,0,13.756889086790437,Shapes
Lines,0.779349373788488,1.69,7,31.74136693018731,Lines_Review
Letters,0.3528804339736908,1.3,3,44.73482354272134,Letters_Review
Shapes,0.3701037472893465,1.62,4,14.579103666331708,Shapes_Review
Words,0.837209219978462,1.0,0,32.30028864789779,MathBasics
MathBasics,0.9515561392426726,1.38,2,46.61124432047806,ReadSimple
Words,0.7707480638721396,1.72,5,59.02884000899941,Words_Review
Numbers,0.4504224204373295,1.23,1,12.579790332935499,Numbers_Review
Shapes,0.700019354739553,1.1,0,19.028767256366677,Shapes
Shapes,0.5127413024237994,1.6,6,44.871013362342,Shapes_Review
Shapes,0.5867986086167485,1.6,4,33.71071083287319,Shapes
Letters,0.5169883218054138,1.23,1,42.22733253129111,Letters_Review
Letters,0.6812604919223895,1.54,4,13.847660081460457,Letters
Shapes,0.7928414046395578,1.48,3,38.621387971673286,Shapes
Numbers,0.8376917520904952,1.08,0,46.89278834532625,Words
Words,0.7187869679639671,1.56,5,30.875304201394606,Words_Review
Shapes,0.3144631993782632,1.63,6,19.273645478836123,Shapes_Review
Letters,0.3476201999082803,1.67,5,27.535590772585508,Letters_Review
Words,0.3255658057802574,1.51,3,41.3752731609185,Words_Review
Lines,0.8224259214278724,1.08,0,26.818523191421104,Shapes
Lines,0.46236845912244556,1.2,2,33.36553832688263,Lines_Review
Shapes,0.5014895219100732,1.5,5,39.45542672354475,Shapes_Review
Words,0.9716512250205014,1.04,0,15.473379933955759,MathBasics
Numbers,0.44841264374824363,1.09,1,49.89946610716917,Numbers_Review
Numbers,0.5839549275337512,1.81,7,54.20994890657515,Numbers_Review
MathBasics,0.7171197446632812,1.0,0,47.167641144681205,MathBasics
Numbers,0.8697214999926068,1.58,5,40.38683974394296,Numbers_Review
Shapes,0.3319228428605128,1.0,0,21.024310453508768,Shapes_Review
Letters,0.8618198731398967,1.64,4,12.892133828169818,Letters_Review
Lines,0.6524170493399466,1.26,3,59.745391132321764,Lines
Shapes,0.6503685885340136,1.05,1,44.80103090268961,Shapes
Letters,0.4526195888489292,1.61,7,47.393580204611425,Letters_Review
Numbers,0.6944586213297115,1.14,1,32.87160488868537,Numbers
Letters,0.3880701464723068,1.2,0,12.218833176661839,Letters_Review
Shapes,0.850470930812917,1.86,7,56.5794744159495,Shapes_Review
Shapes,0.5777481848880751,1.74,6,10.254106990901299,Shapes_Review
Shapes,0.6621697131925182,1.54,4,21.009160097490565,Shapes
Words,0.9742032278986326,1.17,1,34.75732635069872,MathBasics
Words,0.9164293292223145,1.34,2,27.390460395109653,MathBasics
Letters,0.8878551586089969,1.18,0,53.9314993177579,Numbers
Numbers,0.8783955757840844,1.22,2,18.020005266503603,Words
Words,0.7742805939351128,1.24,1,15.2917046914292,MathBasics
Numbers,0.4078514715992901,1.26,2,58.06576440924537,Numbers_Review
Shapes,0.3876315098819427,1.42,2,21.431258076246174,Shapes_Review
Shapes,0.8562175764009623,1.49,5,47.83179018924673,Shapes_Review
Shapes,0.49518593055894067,1.6,5,26.32167882516465,Shapes_Review
Shapes,0.7311238781077356,1.64,7,50.93397102499209,Shapes_Review
Letters,0.8174989737013789,1.29,1,31.612039194625616,Numbers
Numbers,0.7301828873310847,1.68,5,47.68494170252596,Numbers_Review
Numbers,0.767762291164553,1.06,1,57.3648944128169,Words
Numbers,0.34579840899876474,1.02,1,33.67869442175443,Numbers_Review
Letters,0.8796419682550805,1.74,5,58.67444845886985,Letters_Review
Numbers,0.7403500775132972,1.21,3,47.913159796451126,Numbers
Letters,0.8586288042370598,1.77,6,34.432159520233284,Letters_Review
Shapes,0.3007000462950307,1.35,1,23.681333314083293,Shapes_Review
Lines,0.3694916613917289,1.18,0,18.18119105958346,Lines_Review
Words,0.5028946130731949,1.84,7,14.119052280792134,Words_Review
MathBasics,0.38930788595837706,1.15,2,57.543178112520515,MathBasics_Review
Numbers,0.7972636455421062,1.72,6,30.986365846306114,Numbers_Review
MathBasics,0.816863973337906,1.44,4,59.19888239799141,MathBasics
Numbers,0.7926074173775994,1.01,1,20.655235201254165,Words
Lines,0.7861483473375284,1.17,1,53.21791249198185,Shapes
Numbers,0.4261573506781223,1.0,0,14.558224520309583,Numbers_Review
Letters,0.8744525951194835,1.48,3,10.89309462391597,Letters
Numbers,0.32211780205405127,1.26,3,58.375563180688886,Numbers_Review
Lines,0.3008376479131696,1.74,6,16.25928961012752,Lines_Review
Numbers,0.6797206173565746,1.62,7,34.579727337071844,Numbers_Review
MathBasics,0.5216293154874109,1.11,1,49.87795503185941,MathBasics_Review
Words,0.4017148370139447,1.44,4,13.622344389727944,Words_Review
MathBasics,0.9627958992720691,1.64,5,24.58312893546516,MathBasics_Review
Lines,0.9478010738663276,1.07,0,11.980941267417858,Shapes
Lines,0.46459061078651864,1.0,0,38.54522509220821,Lines_Review
MathBasics,0.720345899336321,1.47,3,27.300828382241978,MathBasics
Shapes,0.5219936896059144,1.31,1,36.71211029882225,Shapes_Review
MathBasics,0.32257811397812924,1.31,3,27.89006754641357,MathBasics_Review
MathBasics,0.6859277768178595,1.69,5,44.659697041134045,MathBasics_Review
Shapes,0.4138881559361674,1.0,0,57.577498717766346,Shapes_Review
Letters,0.32147857848143657,1.61,5,40.830229093123705,Letters_Review
Lines,0.782161153226623,1.82,7,57.367523131551934,Lines_Review
Numbers,0.5308261309291081,1.33,2,34.21992237870203,Numbers_Review
Numbers,0.7062835865897124,1.63,5,32.615914225915006,Numbers_Review
Lines,0.4115196470728581,1.42,5,14.081499101529479,Lines_Review
Numbers,0.40849038247696806,1.42,4,40.78710109711214,Numbers_Review
MathBasics,0.5290891384043526,1.75,7,53.59163894865606,MathBasics_Review
Letters,0.4099373300198258,1.48,5,45.96008891361319,Letters_Review
Lines,0.6354282558129837,1.44,3,19.977122546457256,Lines
Words,0.5845118562940038,1.66,6,22.884144425560685,Words_Review
MathBasics,0.9533307750111442,1.15,1,47.13532605999905,ReadSimple
Numbers,0.8000382030927118,1.41,5,59.38247818680289,Numbers_Review
Lines,0.6495171901099329,1.15,0,31.930770959479524,Lines
Numbers,0.893927801895529,1.23,1,49.64780473028158,Words
Letters,0.7027982234434862,1.53,5,27.957551483311573,Letters_Review
Shapes,0.7294609496629139,1.77,6,21.789604697960492,Shapes_Review
Numbers,0.9181421140526358,1.63,6,41.627026661315305,Numbers_Review
Shapes,0.423064327842453,1.45,4,13.456639309330972,Shapes_Review
MathBasics,0.8921099328653077,1.7,6,39.645919991589096,MathBasics_Review
Numbers,0.7032065789757507,1.51,5,42.60616227652189,Numbers_Review
Numbers,0.47553073423676673,1.51,4,10.451520206477513,Numbers_Review
Numbers,0.3889940892884779,1.38,4,21.851392855416808,Numbers_Review
Shapes,0.3499777881844086,1.56,5,26.544468149458595,Shapes_Review
Numbers,0.8636406888001744,1.11,0,32.47169176068688,Words
Numbers,0.7806085074821031,1.73,7,27.962537395812276,Numbers_Review
Letters,0.8007533702446354,1.57,4,36.675596264984776,Letters
Numbers,0.6035306796285582,1.57,6,53.41356402566293,Numbers_Review
Words,0.32324768083862754,1.59,5,12.854342804465743,Words_Review
Numbers,0.3351538493242383,1.06,0,16.10549570050134,Numbers_Review
Words,0.36021779727180414,1.0,0,35.36174043441962,Words_Review
Shapes,0.5702177121557926,1.0,1,58.25593482180228,Shapes
Shapes,0.5197288468077894,1.46,4,53.39591472600111,Shapes_Review
Letters,0.6324156745747056,1.24,3,36.61224944131496,Letters
MathBasics,0.5093923602820098,1.86,7,56.99098959634209,MathBasics_Review
Shapes,0.428077376960609,1.66,6,43.630105911256315,Shapes_Review
Words,0.9550758463178712,1.79,6,44.63129761130823,Words_Review
Shapes,0.554521801655059,1.62,5,34.858738200421364,Shapes_Review
Lines,0.32066320059384906,1.92,7,49.775518584820155,Lines_Review
Lines,0.44665910363044764,1.83,7,51.341944185593874,Lines_Review
Lines,0.37248326060943365,1.41,3,17.96437226214026,Lines_Review
Lines,0.8891782939187989,1.17,0,53.537672516862955,Shapes
Words,0.4963062049608339,1.24,2,53.9257780650674,Words_Review
MathBasics,0.9294588849988838,1.37,2,50.39229709706293,ReadSimple
Lines,0.515693087400471,1.34,4,50.89171080875108,Lines_Review
MathBasics,0.7413707679801873,1.43,4,26.229291495013516,MathBasics
Words,0.5586853988783024,1.38,4,32.43468113112653,Words
Lines,0.602205227870817,1.61,5,13.659796188422181,Lines_Review
MathBasics,0.7369516588840889,1.13,1,33.17470219002862,MathBasics
Shapes,0.947005420572874,1.01,1,33.95909388148655,Letters
Shapes,0.37406447245577734,1.5,4,29.941139044845023,Shapes_Review
Numbers,0.6241529230279882,1.38,2,48.244163077106414,Numbers
Shapes,0.7865338168275066,1.17,2,10.911629133818082,Letters
Words,0.910660773285991,1.03,0,42.73465407156741,MathBasics
Numbers,0.9354164982277497,1.46,5,19.72791615926505,Numbers_Review
Numbers,0.4746080660499454,1.53,3,43.504801730547086,Numbers_Review
Numbers,0.666629668139173,1.85,7,14.481316957747106,Numbers_Review
Shapes,0.4853843204988029,1.38,3,51.15870077978301,Shapes_Review
Numbers,0.4233780764330263,1.4,4,19.22925647685165,Numbers_Review
Lines,0.6857723093476544,1.15,1,55.887624458568865,Lines
MathBasics,0.8480749338471074,1.08,0,28.67548415191938,ReadSimple
Letters,0.301757130094588,1.71,5,50.95944297133951,Letters_Review
Lines,0.8397458182587509,1.64,6,40.54904944254959,Lines_Review
Words,0.9160059512556771,1.68,7,27.671068965135905,Words_Review
Words,0.5054011412476607,1.75,7,51.13071592568392,Words_Review
Shapes,0.8504803835225403,1.26,2,41.19296623382865,Letters
Shapes,0.4040289845634226,1.2,0,46.843687247209104,Shapes_Review
Words,0.36508589775371,1.68,7,25.6135893024398,Words_Review
Letters,0.45772402535886325,1.42,5,41.60077430102092,Letters_Review
Lines,0.9716941537461232,1.34,2,39.85234584478458,Shapes
Shapes,0.591175738149418,1.51,6,46.225842569930904,Shapes_Review
Numbers,0.8567207988410781,1.4,3,46.216940856437056,Numbers
Words,0.3540051709125109,1.81,7,42.264491876285845,Words_Review
Lines,0.5198926622385541,1.32,2,27.178023738785196,Lines_Review
Words,0.6529606578176238,1.02,1,43.48013080669809,Words
Words,0.48438025682012564,1.79,7,42.54386845235971,Words_Review
Words,0.6106638785186507,1.75,5,43.474347759909506,Words_Review
Shapes,0.5468021048552745,1.26,2,46.532525511962305,Shapes_Review
MathBasics,0.6823618347969787,1.42,3,58.08328679774066,MathBasics
Lines,0.4159249979582639,1.16,1,14.83382248233598,Lines_Review
Numbers,0.5363486364825077,1.37,3,59.061818717215196,Numbers_Review
MathBasics,0.45955661566170836,1.21,3,58.708231431400776,MathBasics_Review
Numbers,0.9303606581885207,1.44,3,22.18283580319333,Numbers
Numbers,0.7240382678418765,1.3,1,49.39509941461325,Numbers
Words,0.8617259885717192,1.42,5,17.965201030949014,Words_Review
Numbers,0.5061272820428234,1.13,1,27.08372509484604,Numbers_Review
Shapes,0.9371313196611226,1.19,0,35.4862123375849,Letters
MathBasics,0.6040977275432882,1.26,3,53.66683308619239,MathBasics
MathBasics,0.6379351683759645,1.54,5,38.32876810857093,MathBasics_Review
Numbers,0.932804745957863,1.22,1,36.98663093799714,Words
MathBasics,0.8970225379026473,1.45,5,46.07110336643659,MathBasics_Review
Numbers,0.8567398027705035,1.56,6,30.149008938258074,Numbers_Review
Shapes,0.45205781545749163,1.62,5,58.78051004299574,Shapes_Review
Lines,0.6911110783377049,1.62,4,53.10072411363113,Lines_Review
MathBasics,0.3946546567399203,1.66,7,48.24049004514977,MathBasics_Review
Letters,0.94790231876888,1.53,5,17.318699608112453,Letters_Review
Words,0.31755209672565116,1.0,0,21.627567918269005,Words_Review
Numbers,0.9567590695841894,1.93,7,39.71453752808874,Numbers_Review
Numbers,0.5988679482703789,1.2,3,52.57243187756327,Numbers
Letters,0.7213198093305241,1.34,3,28.239910957226474,Letters
Words,0.830917878526539,1.17,1,20.58776753327392,MathBasics
Shapes,0.3392907814775293,1.75,7,24.867752411841945,Shapes_Review
